Country or Area,Subgroup,Year,Value
Chad,Male,2004,171448
Chad,Male,2003,161065
Chad,Male,2002,139014
Chad,Male,2001,110641
Chad,Male,2000,106931
Chad,Male,1999,97878
Chile,Female,2005,806280
Chile,Female,2004,789503
Chile,Female,2003,770414
Chile,Female,2002,742407
Chile,Female,2000,691798
Chile,Female,1999,654039
Chile,Male,2005,823819
Chile,Male,2004,805463
Chile,Male,2003,786706
Chile,Male,2002,754530
Chile,Male,2000,699485
Chile,Male,1999,650640
China,Female,2005,47803801
China,Female,2004,46880699
China,Female,2003,44795617
China,Female,2001,40451399
China,Male,2005,52828124
China,Male,2004,51882104
China,Male,2003,50829144
China,Male,2001,46065312
Colombia,Female,2005,2215876
Colombia,Female,2004,2092086
Colombia,Female,2003,1953681
Colombia,Female,2002,1920661
Colombia,Female,2001,1742298
Colombia,Female,2000,1838765
Colombia,Female,1999,1856454
Colombia,Male,2005,2081352
Colombia,Male,2004,1958439
Colombia,Male,2003,1835310
Colombia,Male,2002,1802687
Colombia,Male,2001,1635656
Colombia,Male,2000,1730124
Colombia,Male,1999,1732971
Comoros,Female,2005,18428
Comoros,Female,2004,18254
Comoros,Female,2003,17193
Comoros,Female,2002,15338
Comoros,Female,2000,12515
Comoros,Female,1999,12731
Comoros,Male,2005,24921
Comoros,Male,2004,24665
Comoros,Male,2003,21079
Comoros,Male,2002,18536
Comoros,Male,2000,15607
Comoros,Male,1999,15987
Congo,Female,2004,107145
Congo,Female,2003,82638
Congo,Female,2002,82173
Congo,Female,2000,70921
Congo,Male,2004,128149
Congo,Male,2003,121458
Congo,Male,2002,111928
Congo,Male,2000,102059
Congo Dem. Rep.,Female,2003,606895
Congo Dem. Rep.,Female,2002,591465
Congo Dem. Rep.,Female,2000,430034
Congo Dem. Rep.,Female,1999,423320
Congo Dem. Rep.,Male,2003,1048128
Congo Dem. Rep.,Male,2002,1021375
Congo Dem. Rep.,Male,2000,823012
Congo Dem. Rep.,Male,1999,811208
Cook Islands,Female,2004,924
Cook Islands,Female,2003,920
Cook Islands,Female,2002,922
Cook Islands,Female,2001,909
Cook Islands,Female,2000,862
Cook Islands,Female,1999,876
Cook Islands,Male,2004,977
Cook Islands,Male,2003,971
Cook Islands,Male,2002,959
Cook Islands,Male,2001,895
Cook Islands,Male,2000,842
Cook Islands,Male,1999,875
Costa Rica,Female,2005,173715
Costa Rica,Female,2004,170004
Costa Rica,Female,2003,154397
Costa Rica,Female,2002,145824
Costa Rica,Female,2001,141573
Costa Rica,Female,2000,129889
Costa Rica,Female,1999,119982
Costa Rica,Male,2005,173529
Costa Rica,Male,2004,169759
Costa Rica,Male,2003,151543
Costa Rica,Male,2002,143141
Costa Rica,Male,2001,138768
Costa Rica,Male,2000,125754
Costa Rica,Male,1999,115443
Côte d’Ivoire,Female,2002,262446
Côte d’Ivoire,Female,2001,235590
Côte d’Ivoire,Female,2000,217503
Côte d’Ivoire,Female,1999,206556
Côte d’Ivoire,Male,2002,474203
Côte d’Ivoire,Male,2001,428046
Côte d’Ivoire,Male,2000,402466
Côte d’Ivoire,Male,1999,384993
Croatia,Female,2003,197231
Croatia,Female,2002,198511
Croatia,Female,2001,200088
Croatia,Female,2000,202782
Croatia,Female,1999,205428
Croatia,Male,2003,202614
Croatia,Male,2002,203410
Croatia,Male,2001,205076
Croatia,Male,2000,207625
Croatia,Male,1999,210960
Cuba,Female,2005,460195
Cuba,Female,2004,457991
Cuba,Female,2003,453140
Cuba,Female,2002,434840
Cuba,Female,2001,418406
Cuba,Female,2000,394301
Cuba,Female,1999,372462
Cuba,Male,2005,477298
Cuba,Male,2004,474347
Cuba,Male,2003,484907
Cuba,Male,2002,460902
Cuba,Male,2001,418236
Cuba,Male,2000,395626
Cuba,Male,1999,367518
Cyprus,Female,2005,31628
Cyprus,Female,2004,31758
Cyprus,Female,2003,31661
Cyprus,Female,2002,31298
Cyprus,Female,2001,31465
Cyprus,Female,2000,31392
Cyprus,Female,1999,31201
Cyprus,Male,2005,32665
Cyprus,Male,2004,32776
Cyprus,Male,2003,33050
Cyprus,Male,2002,32573
Cyprus,Male,2001,32600
Cyprus,Male,2000,31662
Cyprus,Male,1999,31849
Czech Republic,Female,2005,479760
Czech Republic,Female,2004,482736
Czech Republic,Female,2003,494871
Czech Republic,Female,2002,494367
Czech Republic,Female,2001,497863
Czech Republic,Female,2000,471932
Czech Republic,Female,1999,463008
Czech Republic,Male,2005,495524
Czech Republic,Male,2004,499472
Czech Republic,Male,2003,505622
Czech Republic,Male,2002,504241
Czech Republic,Male,2001,506267
Czech Republic,Male,2000,485831
Czech Republic,Male,1999,465459
Denmark,Female,2005,230059
Denmark,Female,2004,224118
Denmark,Female,2003,223759
Denmark,Female,2002,217468
Denmark,Female,2001,221236
Denmark,Female,2000,213346
Denmark,Female,1999,212566
Denmark,Male,2005,234893
Denmark,Male,2004,225632
Denmark,Male,2003,223104
Denmark,Male,2002,217049
Denmark,Male,2001,220287
Denmark,Male,2000,212803
Denmark,Male,1999,209833
Djibouti,Female,2005,11909
Djibouti,Female,2004,10728
Djibouti,Female,2003,9239
Djibouti,Female,2002,7779
Djibouti,Female,2001,7158
Djibouti,Female,2000,6213
Djibouti,Female,1999,6447
Djibouti,Male,2005,18233
Djibouti,Male,2004,15821
Djibouti,Male,2003,14257
Djibouti,Male,2002,12737
Djibouti,Male,2001,11650
Djibouti,Male,2000,9599
Djibouti,Male,1999,9064
Dominica,Female,2005,3739
Dominica,Female,2004,3770
Dominica,Female,2003,3991
Dominica,Female,2002,3911
Dominica,Female,2001,3890
Dominica,Female,2000,3925
Dominica,Female,1999,4031
Dominica,Male,2005,3737
Dominica,Male,2004,3707
Dominica,Male,2003,3733
Dominica,Male,2002,3589
Dominica,Male,2001,3566
Dominica,Male,2000,3504
Dominica,Male,1999,3095
Dominican Republic,Female,2005,436088
Dominican Republic,Female,2004,424860
Dominican Republic,Female,2003,408818
Dominican Republic,Female,2002,411750
Dominican Republic,Female,2001,408830
Dominican Republic,Female,2000,357847
Dominican Republic,Female,1999,335883
Dominican Republic,Male,2005,372264
Dominican Republic,Male,2004,357830
Dominican Republic,Male,2003,343278
Dominican Republic,Male,2002,346040
Dominican Republic,Male,2001,343658
Dominican Republic,Male,2000,295711
Dominican Republic,Male,1999,274636
Ecuador,Female,2005,492271
Ecuador,Female,2004,490836
Ecuador,Female,2003,482792
Ecuador,Female,2002,477266
Ecuador,Female,2001,465685
Ecuador,Female,2000,455413
Ecuador,Female,1999,450970
Ecuador,Male,2005,507442
Ecuador,Male,2004,505699
Ecuador,Male,2003,489985
Ecuador,Male,2002,489096
Ecuador,Male,2001,470721
Ecuador,Male,2000,461832
Ecuador,Male,1999,452599
Egypt,Female,2005,3847158
Egypt,Female,2004,3947348
Egypt,Female,2003,3965401
Egypt,Female,2002,3936410
Egypt,Female,2001,3934216
Egypt,Female,2000,3777480
Egypt,Female,1999,3585835
Egypt,Male,2005,4330162
Egypt,Male,2004,4382474
Egypt,Male,2003,4418664
Egypt,Male,2002,4423906
Egypt,Male,2001,4389381
Egypt,Male,2000,4250690
Egypt,Male,1999,4085196
El Salvador,Female,2005,262054
El Salvador,Female,2004,259562
El Salvador,Female,2003,243634
El Salvador,Female,2002,228566
El Salvador,Female,2001,215660
El Salvador,Female,2000,207035
El Salvador,Female,1999,198091
El Salvador,Male,2005,262148
El Salvador,Male,2004,260770
El Salvador,Male,2003,244881
El Salvador,Male,2002,232649
El Salvador,Male,2001,219911
El Salvador,Male,2000,213924
El Salvador,Male,1999,207907
Equatorial Guinea,Female,2002,7710
Equatorial Guinea,Female,2000,7770
Equatorial Guinea,Female,1999,5413
Equatorial Guinea,Male,2002,13463
Equatorial Guinea,Male,2000,12909
Equatorial Guinea,Male,1999,14643
Eritrea,Female,2005,80712
Eritrea,Female,2004,70175
Eritrea,Female,2003,63293
Eritrea,Female,2002,60071
Eritrea,Female,2001,59059
Eritrea,Female,2000,55626
Eritrea,Female,1999,47183
Eritrea,Male,2005,136232
Eritrea,Male,2004,123949
Eritrea,Male,2003,97980
Eritrea,Male,2002,92652
Eritrea,Male,2001,83065
Eritrea,Male,2000,79583
Eritrea,Male,1999,68210
Estonia,Female,2005,61168
Estonia,Female,2004,61403
Estonia,Female,2003,61196
Estonia,Female,2002,60903
Estonia,Female,2001,58931
Estonia,Female,2000,58096
Estonia,Female,1999,58035
Estonia,Male,2005,63325
Estonia,Male,2004,62979
Estonia,Male,2003,61878
Estonia,Male,2002,62366
Estonia,Male,2001,60049
Estonia,Male,2000,58369
Estonia,Male,1999,57850
Ethiopia,Female,2005,1757263
Ethiopia,Female,2004,1484738
Ethiopia,Female,2003,1281435
Ethiopia,Female,2002,1176459
Ethiopia,Female,2001,1021496
Ethiopia,Female,2000,821634
Ethiopia,Female,1999,710235
Ethiopia,Male,2005,2731644
Ethiopia,Male,2004,2435729
Ethiopia,Male,2003,2182151
Ethiopia,Male,2002,1956898
Ethiopia,Male,2001,1671385
Ethiopia,Male,2000,1345961
Ethiopia,Male,1999,1149171
Federated States of Micronesia,Female,2005,6724
Federated States of Micronesia,Female,2004,6588
Federated States of Micronesia,Male,2005,6910
Federated States of Micronesia,Male,2004,6918
Fiji,Female,2005,51007
Fiji,Female,2004,51145
Fiji,Female,2003,49866
Fiji,Female,2002,49280
Fiji,Female,2001,48476
Fiji,Female,2000,49633
Fiji,Female,1999,50290
Fiji,Male,2005,50734
Fiji,Male,2004,50878
Fiji,Male,2003,49344
Fiji,Male,2002,48416
Fiji,Male,2001,47955
Fiji,Male,2000,48207
Fiji,Male,1999,48000
Finland,Female,2005,215363
Finland,Female,2004,213173
Finland,Female,2003,255526
Finland,Female,2002,254088
Finland,Female,2001,253505
Finland,Female,2000,250613
Finland,Female,1999,244825
Finland,Male,2005,215233
Finland,Male,2004,212793
Finland,Male,2003,241308
Finland,Male,2002,238669
Finland,Male,2001,239682
Finland,Male,2000,239841
Finland,Male,1999,235057
France,Female,2005,2955069
France,Female,2004,2855175
France,Female,2003,2877806
France,Female,2002,2868473
France,Female,2001,2879761
France,Female,2000,2900840
France,Female,1999,2910520
France,Male,2005,3081123
France,Male,2004,2971673
France,Male,2003,2981321
France,Male,2002,2983057
France,Male,2001,2996286
France,Male,2000,3027905
France,Male,1999,3044975
Gabon,Female,2000,41501
Gabon,Female,1999,40097
Gabon,Male,2000,48071
Gabon,Male,1999,46446
Gambia The,Female,2004,38199
Gambia The,Female,2003,33600
Gambia The,Female,2002,32305
Gambia The,Female,2001,23485
Gambia The,Female,2000,21611
Gambia The,Female,1999,19803
Gambia The,Male,2004,46569
Gambia The,Male,2003,40540
Gambia The,Male,2002,43034
Gambia The,Male,2001,33270
Gambia The,Male,2000,31740
Gambia The,Male,1999,30548
Georgia,Female,2005,155167
Georgia,Female,2004,155763
Georgia,Female,2003,220130
Georgia,Female,2002,219307
Georgia,Female,2001,218576
Georgia,Female,2000,215273
Georgia,Female,1999,214352
Georgia,Male,2005,160261
Georgia,Male,2004,164003
Georgia,Male,2003,230215
Georgia,Male,2002,228074
Georgia,Male,2001,226398
Georgia,Male,2000,225876
Georgia,Male,1999,225919
Germany,Female,2005,3984597
Germany,Female,2004,4043861
Germany,Female,2003,4075865
Germany,Female,2002,4092629
Germany,Female,2001,4056663
Germany,Female,2000,4016835
Germany,Female,1999,3948598
Germany,Male,2005,4283039
Germany,Male,2004,4338069
Germany,Male,2003,4370694
Germany,Male,2002,4372521
Germany,Male,2001,4330862
Germany,Male,2000,4290442
Germany,Male,1999,4236548
Ghana,Female,2005,607980
Ghana,Female,2004,568279
Ghana,Female,2003,527365
Ghana,Female,2002,497045
Ghana,Female,2001,460011
Ghana,Female,2000,464860
Ghana,Female,1999,446898
Ghana,Male,2005,742430
Ghana,Male,2004,708391
Ghana,Male,2003,643399
Ghana,Male,2002,610202
Ghana,Male,2001,569247
Ghana,Male,2000,591756
Ghana,Male,1999,577237
Gibraltar,Female,2001,761
Gibraltar,Female,2000,708
Gibraltar,Female,1999,650
Gibraltar,Male,2001,789
Gibraltar,Male,2000,763
Gibraltar,Male,1999,720
Greece,Female,2005,341452
Greece,Female,2004,335888
Greece,Female,2003,346406
Greece,Female,2001,365144
Greece,Female,2000,364800
Greece,Female,1999,377222
Greece,Male,2005,374085
Greece,Male,2004,359950
Greece,Male,2003,367444
Greece,Male,2001,378318
Greece,Male,2000,373944
Greece,Male,1999,393661
Grenada,Female,2005,6845
