Country or Area,Subgroup,Year,Value
Gabon,Male,1999,133524
Gambia The,Female,2004,89405
Gambia The,Female,2003,86695
Gambia The,Female,2002,84861
Gambia The,Female,2001,74658
Gambia The,Female,2000,70997
Gambia The,Female,1999,69043
Gambia The,Male,2004,85431
Gambia The,Male,2003,88289
Gambia The,Male,2002,86061
Gambia The,Male,2001,82181
Gambia The,Male,2000,83667
Gambia The,Male,1999,81360
Georgia,Female,2005,163318
Georgia,Female,2004,175045
Georgia,Female,2003,115106
Georgia,Female,2002,123669
Georgia,Female,2001,134927
Georgia,Female,2000,145352
Georgia,Female,1999,147412
Georgia,Male,2005,173753
Georgia,Male,2004,187537
Georgia,Male,2003,123265
Georgia,Male,2002,130361
Georgia,Male,2001,141462
Georgia,Male,2000,153000
Georgia,Male,1999,155076
Germany,Female,2005,1609623
Germany,Female,2004,1607124
Germany,Female,2003,1605518
Germany,Female,2002,1637382
Germany,Female,2001,1708182
Germany,Female,2000,1774110
Germany,Female,1999,1827451
Germany,Male,2005,1696513
Germany,Male,2004,1698262
Germany,Male,2003,1698219
Germany,Male,2002,1735794
Germany,Male,2001,1810869
Germany,Male,2000,1881749
Germany,Male,1999,1940009
Ghana,Female,2005,1403988
Ghana,Female,2004,1270497
Ghana,Female,2003,1219356
Ghana,Female,2002,1227284
Ghana,Female,2001,1175391
Ghana,Female,2000,1207888
Ghana,Female,1999,1116247
Ghana,Male,2005,1525548
Ghana,Male,2004,1408415
Ghana,Male,2003,1299916
Ghana,Male,2002,1359150
Ghana,Male,2001,1302599
Ghana,Male,2000,1352998
Ghana,Male,1999,1261197
Gibraltar,Female,2001,1140
Gibraltar,Female,2000,1135
Gibraltar,Female,1999,1058
Gibraltar,Male,2001,1237
Gibraltar,Male,2000,1231
Gibraltar,Male,1999,1549
Greece,Female,2005,315049
Greece,Female,2004,317174
Greece,Female,2003,315316
Greece,Female,2002,312302
Greece,Female,2001,308170
Greece,Female,2000,312455
Greece,Female,1999,312710
Greece,Male,2005,335193
Greece,Male,2004,340318
Greece,Male,2003,336736
Greece,Male,2002,334041
Greece,Male,2001,328290
Greece,Male,2000,332858
Greece,Male,1999,332824
Grenada,Female,2005,7825
Grenada,Female,2004,7691
Grenada,Female,2003,8234
Grenada,Female,2002,8402
Grenada,Female,2001,7729
Grenada,Female,2000,7886
Grenada,Male,2005,8247
Grenada,Male,2004,8128
Grenada,Male,2003,8364
Grenada,Male,2002,8976
Grenada,Male,2001,8245
Grenada,Male,2000,8292
Guatemala,Female,2005,1116509
Guatemala,Female,2004,1082999
Guatemala,Female,2003,1031791
Guatemala,Female,2002,980582
Guatemala,Female,2001,926511
Guatemala,Female,2000,893508
Guatemala,Female,1999,840621
Guatemala,Male,2005,1228792
Guatemala,Male,2004,1197707
Guatemala,Male,2003,1146409
Guatemala,Male,2002,1095112
Guatemala,Male,2001,1045028
Guatemala,Male,2000,1015881
Guatemala,Male,1999,983368
