Country or Area,Subgroup,Year,Value
Eritrea,Male,1999,3454
Estonia,Female,2005,41677
Estonia,Female,2004,40558
Estonia,Female,2003,39153
Estonia,Female,2002,37269
Estonia,Female,2001,34719
Estonia,Female,2000,31346
Estonia,Female,1999,28124
Estonia,Male,2005,26083
Estonia,Male,2004,25101
Estonia,Male,2003,24472
Estonia,Male,2002,23379
Estonia,Male,2001,23059
Estonia,Male,2000,22267
Estonia,Male,1999,20560
Ethiopia,Female,2005,46574
Ethiopia,Female,2004,43307
Ethiopia,Female,2003,37259
Ethiopia,Female,2002,26898
Ethiopia,Female,2001,18707
Ethiopia,Female,2000,14681
Ethiopia,Female,1999,9769
Ethiopia,Male,2005,144591
Ethiopia,Male,2004,128804
Ethiopia,Male,2003,110695
Ethiopia,Male,2002,74931
Ethiopia,Male,2001,68724
Ethiopia,Male,2000,53051
Ethiopia,Male,1999,42536
Fiji,Female,2005,6747
Fiji,Female,2004,6790
Fiji,Female,2003,6798
Fiji,Male,2005,5970
Fiji,Male,2004,5993
Fiji,Male,2003,5981
Finland,Female,2005,163872
Finland,Female,2004,160104
Finland,Female,2003,156012
Finland,Female,2002,153520
Finland,Female,2001,150585
Finland,Female,2000,145099
Finland,Female,1999,141879
Finland,Male,2005,142124
Finland,Male,2004,139784
Finland,Male,2003,135652
Finland,Male,2002,130285
Finland,Male,2001,129043
Finland,Male,2000,125086
Finland,Male,1999,121011
France,Female,2005,1207887
France,Female,2004,1189125
France,Female,2003,1166248
France,Female,2002,1111993
France,Female,2001,1099629
France,Female,2000,1092477
France,Female,1999,1095322
France,Male,2005,979496
France,Male,2004,971175
France,Male,2003,952901
France,Male,2002,917186
France,Male,2001,932114
France,Male,2000,922867
France,Male,1999,916871
Gabon,Female,1999,2667
Gabon,Male,1999,4806
Gambia The,Female,2004,293
Gambia The,Female,1999,265
Gambia The,Male,2004,1237
Gambia The,Male,1999,904
Georgia,Female,2005,87836
Georgia,Female,2004,78359
Georgia,Female,2003,75834
Georgia,Female,2002,74320
Georgia,Female,2001,68842
Georgia,Female,2000,67418
Georgia,Female,1999,67658
Georgia,Male,2005,86419
Georgia,Male,2004,76699
Georgia,Male,2003,79619
Georgia,Male,2002,74822
Georgia,Male,2001,71785
